index_original,Jour_Incident,Cause_Incident,Nb_TGV_Impactes,Minutes_Retard_Cumulees,Date,Service,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Commentaire annulations,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Commentaire retards au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)"
53,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,RENNES,PARIS MONTPARNASSE,99,599,4,,238,7.589985994,3.0667507,,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762
53,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,RENNES,PARIS MONTPARNASSE,99,599,4,,238,7.589985994,3.0667507,,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762
53,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,RENNES,PARIS MONTPARNASSE,99,599,4,,238,7.589985994,3.0667507,,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762
53,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,RENNES,PARIS MONTPARNASSE,99,599,4,,238,7.589985994,3.0667507,,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762
53,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,RENNES,PARIS MONTPARNASSE,99,599,4,,238,7.589985994,3.0667507,,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762
53,12,Incident caténaire en gare de Rennes,26,2188,2018-01,National,RENNES,PARIS MONTPARNASSE,99,599,4,,238,7.589985994,3.0667507,,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762
53,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,RENNES,PARIS MONTPARNASSE,99,599,4,,238,7.589985994,3.0667507,,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762
60,26,Soin matériel roulant,0,68,2018-01,National,BORDEAUX ST JEAN,TOURCOING,301,31,0,,13,2.755128205,1.180645161,,3,43.33333333,6.548387097,3,6.548387097,2,1,0.0,33.33333333,66.66666667,0.0,0.0,0.0
61,20,obstacle sur voie ou aux abords,0,45,2018-01,National,NANTES,PARIS VAUGIRARD,143,62,0,,15,13.87111111,3.647043011,,6,47.28055556,5.310215054,5,5.310215054,3,1,0.0,50.0,0.0,16.66666667,16.66666667,16.66666667
63,6806,7819 du 6 +66: Dérangement d'installations,0,25,2018-01,National,MARNE LA VALLEE,LYON PART DIEU,109,335,9,,212,12.49591195,8.241411043,,59,45.52118644,8.487218814,43,8.487218814,29,17,31.25,31.25,12.5,18.75,6.25,0.0
