Round Number,Date,Location,Home Team,Away Team,Result
29,02/04/2023 17:05:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,4 - 3
29,02/04/2023 20:45:00,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,0 - 1
30,07/04/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,2 - 1
30,08/04/2023 17:00:00,Stade Raymond Kopa,Angers SCO,LOSC Lille,1 - 0
30,08/04/2023 21:00:00,Stade de Nice,OGC Nice,Paris Saint-Germain,0 - 2
30,09/04/2023 13:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Rennais FC,3 - 1
30,09/04/2023 15:00:00,Stade François Coty,AC Ajaccio,AJ Auxerre,0 - 3
30,09/04/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Toulouse FC,1 - 2
30,09/04/2023 15:00:00,Stade Auguste-Delaune,Stade de Reims,Stade Brestois 29,1 - 1
30,09/04/2023 15:00:00,Stade de l'Aube,ESTAC Troyes,Clermont Foot 63,0 - 2
30,09/04/2023 17:05:00,Stade de la Beaujoire,FC Nantes,AS Monaco,2 - 2
30,09/04/2023 20:45:00,Stade du Moustoir,FC Lorient,Olympique de Marseille,0 - 0
31,14/04/2023 21:00:00,Stadium de Toulouse,Toulouse FC,Olympique Lyonnais,1 - 2
31,15/04/2023 17:00:00,Roazhon Park,Stade Rennais FC,Stade de Reims,3 - 0
31,15/04/2023 21:00:00,Parc des Princes,Paris Saint-Germain,RC Lens,3 - 1
31,16/04/2023 13:00:00,Stade Pierre-Mauroy,LOSC Lille,Montpellier Hérault SC,2 - 1
31,16/04/2023 15:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Nantes,2 - 1
31,16/04/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,1 - 0
31,16/04/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,Angers SCO,2 - 1
31,16/04/2023 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,AC Ajaccio,3 - 1
31,16/04/2023 17:05:00,Stade Louis II,AS Monaco,FC Lorient,3 - 1
31,16/04/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,ESTAC Troyes,3 - 1
32,21/04/2023 21:00:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,1 - 2
32,22/04/2023 17:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,LOSC Lille,1 - 1
32,22/04/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,3 - 0
32,23/04/2023 13:00:00,Stade Auguste-Delaune,Stade de Reims,RC Strasbourg Alsace,0 - 2
32,23/04/2023 15:00:00,Stade François Coty,AC Ajaccio,Stade Brestois 29,0 - 0
32,23/04/2023 15:00:00,Stade du Moustoir,FC Lorient,Toulouse FC,0 - 1
32,23/04/2023 15:00:00,Stade de la Beaujoire,FC Nantes,ESTAC Troyes,2 - 2
32,23/04/2023 15:00:00,Stade de Nice,OGC Nice,Clermont Foot 63,1 - 2
32,23/04/2023 17:05:00,Stade de la Mosson,Montpellier Hérault SC,Stade Rennais FC,1 - 0
32,23/04/2023 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,1 - 2
33,28/04/2023 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,1 - 2
33,29/04/2023 17:00:00,Stade Pierre-Mauroy,LOSC Lille,AC Ajaccio,3 - 0
33,30/04/2023 13:00:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,0 - 4
33,30/04/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,Stade de Reims,1 - 0
33,30/04/2023 15:00:00,Roazhon Park,Stade Rennais FC,Angers SCO,4 - 2
33,30/04/2023 15:00:00,Stade de l'Aube,ESTAC Troyes,OGC Nice,0 - 1
33,30/04/2023 17:05:00,Parc des Princes,Paris Saint-Germain,FC Lorient,1 - 3
33,30/04/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,AJ Auxerre,2 - 1
33,02/05/2023 21:00:00,Stadium de Toulouse,Toulouse FC,RC Lens,0 - 1
33,03/05/2023 21:00:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,2 - 0
34,06/05/2023 17:00:00,Stade de Nice,OGC Nice,Stade Rennais FC,2 - 1
34,06/05/2023 19:00:00,Stade Auguste-Delaune,Stade de Reims,LOSC Lille,1 - 0
34,06/05/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,2 - 1
34,07/05/2023 13:00:00,Stade Raymond Kopa,Angers SCO,AS Monaco,1 - 2
34,07/05/2023 15:00:00,Stade François Coty,AC Ajaccio,Toulouse FC,0 - 0
34,07/05/2023 15:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Clermont Foot 63,1 - 1
34,07/05/2023 15:00:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,2 - 1
34,07/05/2023 15:00:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,0 - 2
34,07/05/2023 17:05:00,Parc Olympique Lyonnais,Olympique Lyonnais,Montpellier Hérault SC,5 - 4
34,07/05/2023 20:45:00,Stade de l'Aube,ESTAC Troyes,Paris Saint-Germain,1 - 3
35,12/05/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,Stade de Reims,2 - 1
35,13/05/2023 17:00:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,2 - 0
